ID,Username,ProfileURL,Title,Rating,Review Text,Review Content,Review URL,Date,Format,Verified,Helpful,Thumbnails,Images,Video,Scraped At
RDW05V797QQE7,BARON,https://www.amazon.in/gp/profile/amzn1.account.AHFYPOYWZG6NUOKXZNXJOTBWVG4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Excellent product!!!,5,5.0 out of 5 stars,Excellent product with affordable price. Go for it.,https://www.amazon.in/gp/customer-reviews/RDW05V797QQE7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 1 November 2025,Colour: BlackSize: 10KG(5KG*2),Verified Purchase,,,,,2025-11-08T15:49:14.613Z
R2V45HYX6HIIX8,Nice bat .. but grip is too thin ... Have to tie a new grip 🫤head is little disbalanced maybe delivery packaging... Tooo poor packaging by Amazon... But hopefully my product is not damaged .. now waiting for playing experience,https://www.amazon.in/gp/profile/amzn1.account.AGX4T2PASERSDKSY4TOME2TDECGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Value for money,4,4.0 out of 5 stars,"Product is too good , best for beginners... Quality good at 128 price point. Recommended . Packaging also good",https://www.amazon.in/gp/customer-reviews/R2V45HYX6HIIX8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 27 October 2025,Colour: RedSize: 2KG(1KG*2),Verified Purchase,One person found this helpful,https://m.media-amazon.com/images/I/71K---ztPuL._SY88.jpg,https://m.media-amazon.com/images/I/71K---ztPuL.jpg,,2025-11-08T15:49:14.613Z
R1OJBS99OWJ67P,Saumyadeep Ghosh,https://www.amazon.in/gp/profile/amzn1.account.AFLB6J46O3JEMWXLX6UW53525UDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good product,5,5.0 out of 5 stars,The weight is accurate. Finishing is good. The colour is exact that of display. Grips are very good for use.,https://www.amazon.in/gp/customer-reviews/R1OJBS99OWJ67P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 27 October 2025,Colour: BlackSize: 6KG(3KG*2),Verified Purchase,,,,,2025-11-08T15:49:14.613Z
R352KBOAIS3LD5,Reshma,https://www.amazon.in/gp/profile/amzn1.account.AF3LXRNDYDHAEJOS2IDDMZJZGUTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good. Acceptable quality,3,3.0 out of 5 stars,"Average quality, but ok for the price.",https://www.amazon.in/gp/customer-reviews/R352KBOAIS3LD5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 17 September 2025,Colour: BlackSize: 4KG(2KG*2),Verified Purchase,One person found this helpful,,,,2025-11-08T15:49:14.614Z
RUEEDJFGI2JAS,Atul Chaudhary,https://www.amazon.in/gp/profile/amzn1.account.AFM44OE5DWPEORIUFJ5NIPQH7YFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Nice one,4,4.0 out of 5 stars,Cheap but does the workNot so fragileCame in a good conditionGo for it,https://www.amazon.in/gp/customer-reviews/RUEEDJFGI2JAS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 19 September 2025,Colour: BlackSize: 10KG(5KG*2),Verified Purchase,5 people found this helpful,,,,2025-11-08T15:49:14.614Z
R2ED94I0JGZ6BO,aneeshantony,https://www.amazon.in/gp/profile/amzn1.account.AHHS4SRJC7ZQD45SAWFILWLYTIWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Nice Product..,5,5.0 out of 5 stars,"Sharp Expected same date delivery, I am so happy this Product, Thank You so much Amazon🙏🙏🙏",https://www.amazon.in/gp/customer-reviews/R2ED94I0JGZ6BO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 26 October 2025,Colour: RedSize: 10KG(5KG*2),Verified Purchase,,https://m.media-amazon.com/images/I/51XH7sCSStL._SY88.jpg,https://m.media-amazon.com/images/I/51XH7sCSStL.jpg,,2025-11-08T15:49:14.614Z
R1UTG85IVQUQ6C,Shruti Pandey,https://www.amazon.in/gp/profile/amzn1.account.AHRUGE2EWI2CDUQYWPQKL6CW7CBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good,5,5.0 out of 5 stars,Good for daily use,https://www.amazon.in/gp/customer-reviews/R1UTG85IVQUQ6C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 6 November 2025,Colour: BlackSize: 4KG(2KG*2),Verified Purchase,One person found this helpful,,,,2025-11-08T15:49:14.614Z
R3TQ1605QL9FHC,Kapil mishra,https://www.amazon.in/gp/profile/amzn1.account.AEFOEBXSPVAJOBOKWRDCPCGJ7ILQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,A mid range product,3,3.0 out of 5 stars,Writing the review after using it for 1 month.In the first two three weeks it was great accurate size but after three weeks i started noticing some sand sound while using it and it goes on increasing so the result is not that much good build quality noticed some cracks in one dumbell just in one month gonna cover it up with tape or the sand filled will start coming out. And its kindda slippery so use it properly and not in a hurry cuz that will keep you safe from any injury or losing balance of it. Was in a black color abd is effective in workout but again the build quality can be improved atleast it should last 6 month but as i can see its condition in just 1 month am not sure it would last more than 3 or 4 months.,https://www.amazon.in/gp/customer-reviews/R3TQ1605QL9FHC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 8 August 2025,Colour: BlackSize: 10KG(5KG*2),Verified Purchase,3 people found this helpful,,,,2025-11-08T15:49:14.614Z
R3JY7F39M94IBO,Riya,https://www.amazon.in/gp/profile/amzn1.account.AGQUWNZ24B4P4S2UEKQQCZ3DGC7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Beginner friendly,4,4.0 out of 5 stars,Cute and amazing product it will make you to exercise more.Grab it and Flex your muscles 💪,https://www.amazon.in/gp/customer-reviews/R3JY7F39M94IBO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 4 November 2025,Colour: RedSize: 2KG(1KG*2),Verified Purchase,One person found this helpful,https://m.media-amazon.com/images/I/81sPvx8cTYL._SY88.jpg,https://m.media-amazon.com/images/I/81sPvx8cTYL.jpg,,2025-11-08T15:49:14.614Z
R1W6GLYSJQVVMZ,Gocham Yaka,https://www.amazon.in/gp/profile/amzn1.account.AFY75NXBAPWESCJI554VEBJH6IKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good quality with affordable price,4,4.0 out of 5 stars,,https://www.amazon.in/gp/customer-reviews/R1W6GLYSJQVVMZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Reviewed in India on 5 November 2025,Colour: BlackSize: 10KG(5KG*2),Verified Purchase,,https://m.media-amazon.com/images/I/71OODnfxDPL._SY88.jpg; https://m.media-amazon.com/images/I/71Paoc3KtGL._SY88.jpg,https://m.media-amazon.com/images/I/71OODnfxDPL.jpg; https://m.media-amazon.com/images/I/71Paoc3KtGL.jpg,,2025-11-08T15:49:14.615Z
